ID,Learner ID,School ID,Class ID,Session ID,Play Time,Learning Unit,Subject,Strand,Substrand,Outcome,Foreground Duration,Score
683152ee-4f90-48b0-86e2-5d9c594018e2,100e325c952038afe247418e8d3dabea,2475250c1a2161e934a992047fdefd5e,d574c906d05f1a4c577ccccd71ab4ff7,db3ee4cb-ce41-433e-b7b4-6e70bb31d8c7,"Sep 12, 2023, 09:57",OneCourse:OC_TalkingHead.5352,Language,Listening  ,1.6 Auditory memory,Success,"322,484",0.16
4e502f5a-8860-40e4-b9b9-47ea329929b9,3b3db28b996fedc8f8569913d31b51b2,2475250c1a2161e934a992047fdefd5e,d574c906d05f1a4c577ccccd71ab4ff7,553953fd-b072-4e35-ae37-eb1b9426a73a,"Sep 12, 2023, 07:22",OneCourse:OC_TalkingHead.2360,Language,Listening  ,1.6 Auditory memory,Success,"94,752",0.89
1496f065-b87c-4472-b16a-7d5a851c8682,ad790d0bf35b1abcfddbdd5704cfbaee,846b8e98464b88611faeb4d6c1b87e1b,44530f9f3628774cc1f95ebad97b1579,c8420418-b7c2-4b17-8cd1-747ef33583ba,"Sep 14, 2023, 08:23",OneCourse:OC_TalkingHead.5352,Language,Listening  ,1.6 Auditory memory,Success,"106,277",0.7
29091e26-b815-45e5-be43-b46f228fcafd,1ba9673c01ce80c66d2d4c744a3cab70,00b8a145665d361e0282fd8234909dbc,5252bfa9afc16bf344d2fa3b4c734d46,6360e886-4853-4011-8a9e-e0e62001f4e5,"Sep 9, 2023, 16:56",OneCourse:OC_TalkingHead.ce7e,Language,Listening  ,1.6 Auditory memory,Abort,"5,682",0.0
b67f01a4-e967-4d5d-8583-2866811431b6,dfd0711a3fca5f5100b448a72ced9e76,19861f4daeeadc46a229d954d091bf40,9f34f5543502141d20c01ab73a57b210,3568fc56-b373-4321-9902-52af420a9bd3,"Oct 23, 2023, 10:31",OneCourse:OC_TalkingHead.ce7e,Language,Listening  ,1.6 Auditory memory,Success,"119,655",0.4705
48debe17-6bed-4738-b063-466ceb355029,4c079ed95d7da41fece4975ce8b25246,2a32133bfbb3d9e66f385d6965229ec8,5e3ff005367adfcfcaf84d2c9221f15f,991a881f-40b3-4f53-b441-1f803ebb0200,"Sep 12, 2023, 11:23",OneCourse:OC_TalkingHead.5352,Language,Listening  ,1.6 Auditory memory,Success,"130,192",0.47
9b1bae81-021c-4f01-bbe2-d2b23ef252c4,c435d64250e9032a5d438bcfa9fc57c0,faa5ee0cfaf04dd6ad3658d6cdb1ba55,630db6a45bd8b05969d453d841b4f031,a47d6c84-1268-4ff7-a0fe-677573834191,"Sep 12, 2023, 10:24",OneCourse:OC_TalkingHead.1dac,Language,Listening  ,1.6 Auditory memory,Success,"80,031",1.0
466c6f42-bde5-418e-a2e5-1a3a0cda5623,17d0647a6251fd0baf7b7390f2946c5d,2475250c1a2161e934a992047fdefd5e,d574c906d05f1a4c577ccccd71ab4ff7,c5f3b8fe-ade3-47f7-8f2c-c4116fe1230b,"Sep 20, 2023, 11:39",OneCourse:OC_TalkingHead.ce7e,Language,Listening  ,1.6 Auditory memory,Success,"79,471",1.0
fe5e4de8-b744-4fec-8228-b727e02bb8a3,f0fa333100eb86adcd971bfc310eb4ff,4012a0f4ccb35f8f41cc097500374c92,72185856481a6614179ccc91ebd0a80c,a4fd5358-ef27-43f4-885d-55443df73499,"Sep 19, 2023, 15:42",OneCourse:OC_TalkingHead.5352,Language,Listening  ,1.6 Auditory memory,Abort,"11,801",0.0
54bf1596-7a72-47dc-a1a1-0579a5c14738,84df090d1f932743f92f465159318b3d,c5e4603fd9dd866e50d8590ce79d2b69,6b1967a156c725aeff0e7bd340be48a3,e9dc9863-9ce1-4e11-96ec-dff247b995fe,"Oct 12, 2023, 11:48",OneCourse:OC_TalkingHead.23de,Language,Listening  ,1.6 Auditory memory,Abort,"3,120",0.0
494102d6-40ef-42ef-955c-4a162a68c575,38add061173b06c83dea72e3c2fd9c99,7958ff3cc99f116be5718562ae3c6608,7d9b452ab23053361bdd3c2a31627326,291c24a8-9516-435a-a7a8-c53c3086c02f,"Sep 18, 2023, 10:43",OneCourse:OC_TalkingHead.3dba,Language,Listening  ,1.6 Auditory memory,Abort,"2,073",0.0
